"","Season","School"
"2538","1992-1993","Saint Joseph's"
"2539","1992-1993","Saint Louis"
"2540","1992-1993","Saint Mary's (CA)"
"2541","1992-1993","Saint Peter's"
"2542","1992-1993","Sam Houston State"
"2543","1992-1993","Samford"
"2544","1992-1993","San Diego"
"2545","1992-1993","San Diego State"
"2546","1992-1993","San Francisco"
"2547","1992-1993","San Jose State"
"2548","1992-1993","Santa Clara"
"2549","1992-1993","Seton Hall"
"2550","1992-1993","Siena"
"2551","1992-1993","South Alabama"
"2552","1992-1993","South Carolina"
"2553","1992-1993","South Carolina State"
"2554","1992-1993","South Florida"
"2555","1992-1993","Southeast Missouri State"
"2556","1992-1993","Southeastern Louisiana"
"2557","1992-1993","Southern"
"2558","1992-1993","Southern California"
"2559","1992-1993","Southern Illinois"
"2560","1992-1993","Southern Methodist"
"2561","1992-1993","Southern Mississippi"
"2562","1992-1993","Southern Utah"
"2563","1992-1993","St. Bonaventure"
"2564","1992-1993","St. Francis (NY)"
"2565","1992-1993","St. John's (NY)"
"2566","1992-1993","Stanford"
"2567","1992-1993","Stephen F. Austin"
"2568","1992-1993","Stetson"
"2569","1992-1993","Syracuse"
"2570","1992-1993","Temple"
"2571","1992-1993","Tennessee"
"2572","1992-1993","Tennessee-Martin"
"2573","1992-1993","Tennessee State"
"2574","1992-1993","Tennessee Tech"
"2575","1992-1993","Texas"
"2576","1992-1993","Texas-Arlington"
"2577","1992-1993","Texas-El Paso"
"2578","1992-1993","Texas-Rio Grande Valley"
"2579","1992-1993","Texas-San Antonio"
"2580","1992-1993","Texas A&M"
"2581","1992-1993","Texas Christian"
"2582","1992-1993","Texas Southern"
"2583","1992-1993","Texas State"
"2584","1992-1993","Texas Tech"
"2585","1992-1993","Toledo"
"2586","1992-1993","Towson"
"2587","1992-1993","Tulane"
"2588","1992-1993","Tulsa"
"2589","1992-1993","UC-Irvine"
"2590","1992-1993","UC-Santa Barbara"
"2591","1992-1993","UCLA"
"2592","1992-1993","University of California"
"2593","1992-1993","Utah"
"2594","1992-1993","Utah State"
"2595","1992-1993","Valparaiso"
"2596","1992-1993","Vanderbilt"
"2597","1992-1993","Vermont"
"2598","1992-1993","Villanova"
"2599","1992-1993","Virginia"
"2600","1992-1993","Virginia Commonwealth"
"2601","1992-1993","Virginia Tech"
"2602","1992-1993","VMI"
"2603","1992-1993","Wagner"
"2604","1992-1993","Wake Forest"
"2605","1992-1993","Washington"
"2606","1992-1993","Washington State"
"2607","1992-1993","Weber State"
"2608","1992-1993","West Virginia"
"2609","1992-1993","Western Carolina"
"2610","1992-1993","Western Illinois"
"2611","1992-1993","Western Kentucky"
"2612","1992-1993","Western Michigan"
"2613","1992-1993","Wichita State"
"2614","1992-1993","William & Mary"
"2615","1992-1993","Winthrop"
"2616","1992-1993","Wisconsin"
"2617","1992-1993","Wright State"
"2618","1992-1993","Wyoming"
"2619","1992-1993","Xavier"
"2620","1992-1993","Yale"
"2621","1992-1993","Youngstown State"
"2622","1993-1994","Air Force"
"2623","1993-1994","Akron"
"2624","1993-1994","Alabama"
"2625","1993-1994","Alabama-Birmingham"
"2626","1993-1994","Alabama State"
"2627","1993-1994","Alcorn State"
"2628","1993-1994","American"
"2629","1993-1994","Appalachian State"
"2630","1993-1994","Arizona"
"2631","1993-1994","Arizona State"
"2632","1993-1994","Arkansas"
"2633","1993-1994","Arkansas State"
"2634","1993-1994","Army"
"2635","1993-1994","Auburn"
"2636","1993-1994","Austin Peay"
"2637","1993-1994","Ball State"
"2638","1993-1994","Baylor"
"2639","1993-1994","Bethune-Cookman"
"2640","1993-1994","Boise State"
"2641","1993-1994","Boston College"
"2642","1993-1994","Boston University"
"2643","1993-1994","Bowling Green State"
"2644","1993-1994","Bradley"
"2645","1993-1994","Brigham Young"
"2646","1993-1994","Brown"
"2647","1993-1994","Bucknell"
"2648","1993-1994","Buffalo"
"2649","1993-1994","Butler"
"2650","1993-1994","Cal State Fullerton"
"2651","1993-1994","Cal State Northridge"
"2652","1993-1994","Campbell"
"2653","1993-1994","Canisius"
"2654","1993-1994","Centenary (LA)"
"2655","1993-1994","Central Connecticut State"
"2656","1993-1994","Central Florida"
"2657","1993-1994","Central Michigan"
"2658","1993-1994","Charleston Southern"
"2659","1993-1994","Charlotte"
"2660","1993-1994","Chattanooga"
"2661","1993-1994","Chicago State"
"2662","1993-1994","Cincinnati"
"2663","1993-1994","Citadel"
"2664","1993-1994","Clemson"
"2665","1993-1994","Cleveland State"
"2666","1993-1994","Coastal Carolina"
"2667","1993-1994","Colgate"
"2668","1993-1994","College of Charleston"
"2669","1993-1994","Colorado"
"2670","1993-1994","Colorado State"
"2671","1993-1994","Columbia"
"2672","1993-1994","Connecticut"
"2673","1993-1994","Coppin State"
"2674","1993-1994","Cornell"
"2675","1993-1994","Creighton"
"2676","1993-1994","Dartmouth"
"2677","1993-1994","Davidson"
"2678","1993-1994","Dayton"
"2679","1993-1994","Delaware"
"2680","1993-1994","Delaware State"
"2681","1993-1994","DePaul"
"2682","1993-1994","Detroit Mercy"
"2683","1993-1994","Drake"
"2684","1993-1994","Drexel"
"2685","1993-1994","Duke"
"2686","1993-1994","Duquesne"
"2687","1993-1994","East Carolina"
"2688","1993-1994","East Tennessee State"
"2689","1993-1994","Eastern Illinois"
"2690","1993-1994","Eastern Kentucky"
"2691","1993-1994","Eastern Michigan"
"2692","1993-1994","Eastern Washington"
"2693","1993-1994","Evansville"
"2694","1993-1994","Fairfield"
"2695","1993-1994","Fairleigh Dickinson"
"2696","1993-1994","Florida"
"2697","1993-1994","Florida A&M"
"2698","1993-1994","Florida Atlantic"
"2699","1993-1994","Florida International"
"2700","1993-1994","Florida State"
"2701","1993-1994","Fordham"
"2702","1993-1994","Fresno State"
"2703","1993-1994","Furman"
"2704","1993-1994","George Mason"
"2705","1993-1994","George Washington"
"2706","1993-1994","Georgetown"
"2707","1993-1994","Georgia"
"2708","1993-1994","Georgia Southern"
"2709","1993-1994","Georgia State"
"2710","1993-1994","Georgia Tech"
"2711","1993-1994","Gonzaga"
"2712","1993-1994","Grambling"
"2713","1993-1994","Green Bay"
"2714","1993-1994","Hartford"
"2715","1993-1994","Harvard"
"2716","1993-1994","Hawaii"
"2717","1993-1994","Hofstra"
"2718","1993-1994","Holy Cross"
"2719","1993-1994","Houston"
"2720","1993-1994","Howard"
"2721","1993-1994","Idaho"
"2722","1993-1994","Idaho State"
"2723","1993-1994","Illinois"
"2724","1993-1994","Illinois-Chicago"
"2725","1993-1994","Illinois State"
"2726","1993-1994","Indiana"
"2727","1993-1994","Indiana State"
"2728","1993-1994","Iona"
"2729","1993-1994","Iowa"
"2730","1993-1994","Iowa State"
"2731","1993-1994","Jackson State"
"2732","1993-1994","Jacksonville"
"2733","1993-1994","James Madison"
"2734","1993-1994","Kansas"
"2735","1993-1994","Kansas State"
"2736","1993-1994","Kent State"
"2737","1993-1994","Kentucky"
"2738","1993-1994","La Salle"
"2739","1993-1994","Lafayette"
"2740","1993-1994","Lamar"
"2741","1993-1994","Lehigh"
"2742","1993-1994","Liberty"
"2743","1993-1994","Little Rock"
"2744","1993-1994","Long Beach State"
"2745","1993-1994","Long Island University"
"2746","1993-1994","Louisiana"
"2747","1993-1994","Louisiana-Monroe"
"2748","1993-1994","Louisiana State"
"2749","1993-1994","Louisiana Tech"
"2750","1993-1994","Louisville"
"2751","1993-1994","Loyola (IL)"
"2752","1993-1994","Loyola (MD)"
"2753","1993-1994","Loyola Marymount"
"2754","1993-1994","Maine"
"2755","1993-1994","Manhattan"
"2756","1993-1994","Marist"
"2757","1993-1994","Marquette"
"2758","1993-1994","Marshall"
"2759","1993-1994","Maryland"
"2760","1993-1994","Maryland-Baltimore County"
"2761","1993-1994","Maryland-Eastern Shore"
"2762","1993-1994","Massachusetts"
"2763","1993-1994","McNeese State"
"2764","1993-1994","Memphis"
"2765","1993-1994","Mercer"
"2766","1993-1994","Miami (FL)"
"2767","1993-1994","Miami (OH)"
"2768","1993-1994","Michigan"
"2769","1993-1994","Michigan State"
"2770","1993-1994","Middle Tennessee"
"2771","1993-1994","Milwaukee"
"2772","1993-1994","Minnesota"
"2773","1993-1994","Mississippi"
"2774","1993-1994","Mississippi State"
"2775","1993-1994","Mississippi Valley State"
"2776","1993-1994","Missouri"
"2777","1993-1994","Missouri-Kansas City"
"2778","1993-1994","Missouri State"
"2779","1993-1994","Monmouth"
"2780","1993-1994","Montana"
"2781","1993-1994","Montana State"
"2782","1993-1994","Morehead State"
"2783","1993-1994","Morgan State"
"2784","1993-1994","Mount St. Mary's"
"2785","1993-1994","Murray State"
"2786","1993-1994","Navy"
"2787","1993-1994","Nebraska"
"2788","1993-1994","Nevada"
"2789","1993-1994","Nevada-Las Vegas"
"2790","1993-1994","New Hampshire"
"2791","1993-1994","New Mexico"
"2792","1993-1994","New Mexico State"
"2793","1993-1994","New Orleans"
"2794","1993-1994","Niagara"
"2795","1993-1994","Nicholls State"
"2796","1993-1994","North Carolina"
"2797","1993-1994","North Carolina-Asheville"
"2798","1993-1994","North Carolina-Greensboro"
"2799","1993-1994","North Carolina-Wilmington"
"2800","1993-1994","North Carolina A&T"
"2801","1993-1994","North Carolina State"
"2802","1993-1994","North Texas"
"2803","1993-1994","Northeastern"
"2804","1993-1994","Northeastern Illinois"
"2805","1993-1994","Northern Arizona"
"2806","1993-1994","Northern Illinois"
"2807","1993-1994","Northern Iowa"
"2808","1993-1994","Northwestern"
"2809","1993-1994","Northwestern State"
"2810","1993-1994","Notre Dame"
"2811","1993-1994","Ohio"
"2812","1993-1994","Ohio State"
"2813","1993-1994","Oklahoma"
"2814","1993-1994","Oklahoma State"
"2815","1993-1994","Old Dominion"
"2816","1993-1994","Oral Roberts"
"2817","1993-1994","Oregon"
"2818","1993-1994","Oregon State"
"2819","1993-1994","Pacific"
"2820","1993-1994","Penn State"
"2821","1993-1994","Pennsylvania"
"2822","1993-1994","Pepperdine"
"2823","1993-1994","Pittsburgh"
"2824","1993-1994","Portland"
"2825","1993-1994","Prairie View"
"2826","1993-1994","Princeton"
"2827","1993-1994","Providence"
"2828","1993-1994","Purdue"
"2829","1993-1994","Radford"
"2830","1993-1994","Rhode Island"
"2831","1993-1994","Rice"
"2832","1993-1994","Richmond"
"2833","1993-1994","Rider"
"2834","1993-1994","Robert Morris"
"2835","1993-1994","Rutgers"
"2836","1993-1994","Sacramento State"
"2837","1993-1994","Saint Francis (PA)"
"2838","1993-1994","Saint Joseph's"
"2839","1993-1994","Saint Louis"
"2840","1993-1994","Saint Mary's (CA)"
"2841","1993-1994","Saint Peter's"
"2842","1993-1994","Sam Houston State"
"2843","1993-1994","Samford"
"2844","1993-1994","San Diego"
"2845","1993-1994","San Diego State"
"2846","1993-1994","San Francisco"
"2847","1993-1994","San Jose State"
"2848","1993-1994","Santa Clara"
"2849","1993-1994","Seton Hall"
"2850","1993-1994","Siena"
"2851","1993-1994","South Alabama"
"2852","1993-1994","South Carolina"
"2853","1993-1994","South Carolina State"
"2854","1993-1994","South Florida"
"2855","1993-1994","Southeast Missouri State"
"2856","1993-1994","Southeastern Louisiana"
"2857","1993-1994","Southern"
"2858","1993-1994","Southern California"
"2859","1993-1994","Southern Illinois"
"2860","1993-1994","Southern Methodist"
"2861","1993-1994","Southern Mississippi"
"2862","1993-1994","Southern Utah"
"2863","1993-1994","St. Bonaventure"
"2864","1993-1994","St. Francis (NY)"
"2865","1993-1994","St. John's (NY)"
"2866","1993-1994","Stanford"
"2867","1993-1994","Stephen F. Austin"
"2868","1993-1994","Stetson"
"2869","1993-1994","Syracuse"
"2870","1993-1994","Temple"
"2871","1993-1994","Tennessee"
"2872","1993-1994","Tennessee-Martin"
"2873","1993-1994","Tennessee State"
"2874","1993-1994","Tennessee Tech"
"2875","1993-1994","Texas"
"2876","1993-1994","Texas-Arlington"
"2877","1993-1994","Texas-El Paso"
"2878","1993-1994","Texas-Rio Grande Valley"
"2879","1993-1994","Texas-San Antonio"
"2880","1993-1994","Texas A&M"
"2881","1993-1994","Texas Christian"
"2882","1993-1994","Texas Southern"
"2883","1993-1994","Texas State"
"2884","1993-1994","Texas Tech"
"2885","1993-1994","Toledo"
"2886","1993-1994","Towson"
"2887","1993-1994","Troy"
"2888","1993-1994","Tulane"
"2889","1993-1994","Tulsa"
"2890","1993-1994","UC-Irvine"
"2891","1993-1994","UC-Santa Barbara"
"2892","1993-1994","UCLA"
"2893","1993-1994","University of California"
"2894","1993-1994","Utah"
"2895","1993-1994","Utah State"
"2896","1993-1994","Valparaiso"
"2897","1993-1994","Vanderbilt"
"2898","1993-1994","Vermont"
"2899","1993-1994","Villanova"
"2900","1993-1994","Virginia"
"2901","1993-1994","Virginia Commonwealth"
"2902","1993-1994","Virginia Tech"
"2903","1993-1994","VMI"
"2904","1993-1994","Wagner"
"2905","1993-1994","Wake Forest"
"2906","1993-1994","Washington"
"2907","1993-1994","Washington State"
"2908","1993-1994","Weber State"
"2909","1993-1994","West Virginia"
"2910","1993-1994","Western Carolina"
"2911","1993-1994","Western Illinois"
"2912","1993-1994","Western Kentucky"
"2913","1993-1994","Western Michigan"
"2914","1993-1994","Wichita State"
"2915","1993-1994","William & Mary"
"2916","1993-1994","Winthrop"
"2917","1993-1994","Wisconsin"
"2918","1993-1994","Wright State"
"2919","1993-1994","Wyoming"
"2920","1993-1994","Xavier"
"2921","1993-1994","Yale"
"2922","1993-1994","Youngstown State"
"2923","1994-1995","Air Force"
"2924","1994-1995","Akron"
"2925","1994-1995","Alabama"
"2926","1994-1995","Alabama-Birmingham"
"2927","1994-1995","Alabama State"
"2928","1994-1995","Alcorn State"
"2929","1994-1995","American"
"2930","1994-1995","Appalachian State"
"2931","1994-1995","Arizona"
"2932","1994-1995","Arizona State"
"2933","1994-1995","Arkansas"
"2934","1994-1995","Arkansas State"
"2935","1994-1995","Army"
"2936","1994-1995","Auburn"
"2937","1994-1995","Austin Peay"
"2938","1994-1995","Ball State"
"2939","1994-1995","Baylor"
"2940","1994-1995","Bethune-Cookman"
"2941","1994-1995","Boise State"
"2942","1994-1995","Boston College"
"2943","1994-1995","Boston University"
"2944","1994-1995","Bowling Green State"
"2945","1994-1995","Bradley"
"2946","1994-1995","Brigham Young"
"2947","1994-1995","Brown"
"2948","1994-1995","Bucknell"
"2949","1994-1995","Buffalo"
"2950","1994-1995","Butler"
"2951","1994-1995","Cal Poly"
"2952","1994-1995","Cal State Fullerton"
"2953","1994-1995","Cal State Northridge"
"2954","1994-1995","Campbell"
"2955","1994-1995","Canisius"
"2956","1994-1995","Centenary (LA)"
"2957","1994-1995","Central Connecticut State"
"2958","1994-1995","Central Florida"
"2959","1994-1995","Central Michigan"
"2960","1994-1995","Charleston Southern"
"2961","1994-1995","Charlotte"
"2962","1994-1995","Chattanooga"
"2963","1994-1995","Chicago State"
"2964","1994-1995","Cincinnati"
"2965","1994-1995","Citadel"
"2966","1994-1995","Clemson"
"2967","1994-1995","Cleveland State"
"2968","1994-1995","Coastal Carolina"
"2969","1994-1995","Colgate"
"2970","1994-1995","College of Charleston"
"2971","1994-1995","Colorado"
"2972","1994-1995","Colorado State"
"2973","1994-1995","Columbia"
"2974","1994-1995","Connecticut"
"2975","1994-1995","Coppin State"
"2976","1994-1995","Cornell"
"2977","1994-1995","Creighton"
"2978","1994-1995","Dartmouth"
"2979","1994-1995","Davidson"
"2980","1994-1995","Dayton"
"2981","1994-1995","Delaware"
"2982","1994-1995","Delaware State"
"2983","1994-1995","DePaul"
"2984","1994-1995","Detroit Mercy"
"2985","1994-1995","Drake"
"2986","1994-1995","Drexel"
"2987","1994-1995","Duke"
"2988","1994-1995","Duquesne"
"2989","1994-1995","East Carolina"
"2990","1994-1995","East Tennessee State"
"2991","1994-1995","Eastern Illinois"
"2992","1994-1995","Eastern Kentucky"
"2993","1994-1995","Eastern Michigan"
"2994","1994-1995","Eastern Washington"
"2995","1994-1995","Evansville"
"2996","1994-1995","Fairfield"
"2997","1994-1995","Fairleigh Dickinson"
"2998","1994-1995","Florida"
"2999","1994-1995","Florida A&M"
"3000","1994-1995","Florida Atlantic"
"3001","1994-1995","Florida International"
"3002","1994-1995","Florida State"
"3003","1994-1995","Fordham"
"3004","1994-1995","Fresno State"
"3005","1994-1995","Furman"
"3006","1994-1995","George Mason"
"3007","1994-1995","George Washington"
"3008","1994-1995","Georgetown"
"3009","1994-1995","Georgia"
"3010","1994-1995","Georgia Southern"
"3011","1994-1995","Georgia State"
"3012","1994-1995","Georgia Tech"
"3013","1994-1995","Gonzaga"
"3014","1994-1995","Grambling"
"3015","1994-1995","Green Bay"
"3016","1994-1995","Hartford"
"3017","1994-1995","Harvard"
"3018","1994-1995","Hawaii"
"3019","1994-1995","Hofstra"
"3020","1994-1995","Holy Cross"
"3021","1994-1995","Houston"
"3022","1994-1995","Howard"
"3023","1994-1995","Idaho"
"3024","1994-1995","Idaho State"
"3025","1994-1995","Illinois"
"3026","1994-1995","Illinois-Chicago"
"3027","1994-1995","Illinois State"
"3028","1994-1995","Indiana"
"3029","1994-1995","Indiana State"
"3030","1994-1995","Iona"
"3031","1994-1995","Iowa"
"3032","1994-1995","Iowa State"
"3033","1994-1995","Jackson State"
"3034","1994-1995","Jacksonville"
"3035","1994-1995","James Madison"
"3036","1994-1995","Kansas"
"3037","1994-1995","Kansas State"
"3038","1994-1995","Kent State"
"3039","1994-1995","Kentucky"
"3040","1994-1995","La Salle"
